Id,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
0,N/A,-0.314793,0.41700299999999996,1.051058,0.08296100000000001,0.439463,0.220177,0.6998270000000001,0.375899,0.40060500000000004
1,N/A,-0.314793,0.6659510000000001,-0.06411,0.17234000000000002,-1.512204,0.106925,0.11987,-0.12300499999999999,-1.312598
2,N/A,-0.040001,0.288973,-0.042597,0.261718,-0.14188399999999998,0.371178,-1.180477,-0.777816,-0.209421
3,N/A,-0.6523939999999999,0.384996,-1.6942220000000001,-0.185173,-2.093552,-3.026359,-3.7349620000000003,-2.9917,-3.113659
4,N/A,-0.346197,-0.009765000000000001,1.029902,0.08296100000000001,-0.432558,-3.10186,-0.692703,-0.8401790000000001,-1.852354
5,N/A,-0.134216,0.26407800000000003,0.430695,0.261718,-0.10036,0.182426,0.363824,-0.154186,-0.063434
6,N/A,-0.3619,0.5023569999999999,-1.588745,0.261718,-0.266459,0.182426,-0.744019,-0.247731,-0.216835
7,N/A,-0.29909,0.694403,0.955725,0.6192300000000001,-0.266459,-1.32759,1.17436,1.124254,0.770999
8,N/A,-1.021399,0.057807000000000004,1.228564,-0.006417,1.643684,0.861934,0.681791,1.3737059999999999,1.075849
9,N/A,0.391814,0.21784499999999998,-0.07332999999999999,0.261718,-0.432558,0.371178,0.528021,0.095265,-0.45627399999999996
10,N/A,-0.16562000000000002,0.811764,-1.809159,-4.9222150000000005,-1.38763,0.182426,-2.3319080000000003,-2.430434,-1.227814
11,N/A,-0.38545300000000005,0.381439,0.314237,0.261718,0.14879,0.220177,0.285833,-0.310094,0.154994
12,N/A,0.038511000000000004,0.42056000000000004,3.9871519999999996,0.17234000000000002,2.017408,0.52218,1.843162,1.9661540000000002,1.60343
13,N/A,0.062064,0.125378,1.0598299999999998,0.261718,-0.058835000000000005,0.182426,0.334779,-0.933723,-0.037081
14,N/A,0.572391,5.083004,-0.109553,-1.257711,0.397939,0.446679,1.0686229999999999,0.968347,0.234148
15,N/A,-0.29123899999999997,0.388552,0.855618,0.261718,-0.8062819999999999,0.031425,0.833192,-0.216549,-0.6335569999999999
16,N/A,0.446772,-3.210528,-0.7161609999999999,0.351096,4.8826220000000005,1.050686,-2.2913099999999997,-2.2121630000000003,3.7166580000000002
17,N/A,-0.377602,0.32809299999999997,-0.039583,0.261718,-0.30798400000000004,0.295677,-0.26638,-0.310094,-0.320967
18,N/A,-0.9978459999999999,0.356544,-0.026931999999999998,0.261718,-0.266459,0.484429,-0.387047,0.126447,-0.37451599999999996
19,N/A,0.20338499999999998,-0.023991,0.9956780000000001,0.261718,1.0208110000000001,0.333428,0.5419609999999999,-0.12300499999999999,0.843016
20,N/A,-0.46396499999999996,0.392108,0.22699,0.261718,-0.22493400000000002,1.0129350000000001,0.323829,0.282354,-0.6073729999999999
21,N/A,0.179832,0.064919,-1.533962,0.261718,-0.266459,0.446679,0.09301799999999999,-0.310094,-0.357277
22,N/A,-0.369751,0.552147,0.331573,-4.9222150000000005,0.024215,1.352689,-0.232481,-0.247731,-0.554765
23,N/A,0.8707360000000001,-3.210528,0.06249299999999999,0.261718,0.273364,0.55993,1.488151,0.500624,0.064086
24,N/A,0.572391,0.050694,-0.980138,-0.27455100000000005,-0.01731,0.446679,0.754055,0.219991,-0.13744
25,N/A,0.054213,0.37432600000000005,0.37892600000000004,0.261718,-0.9723809999999999,0.106925,1.9279110000000002,0.9371649999999999,-0.812937
26,N/A,-0.330495,-3.210528,-0.26745599999999997,0.261718,0.024215,0.371178,0.966576,-0.029461,-0.067399
27,N/A,0.274046,0.182281,0.095763,0.261718,-0.391033,0.295677,0.449194,-0.278912,-0.394829
28,N/A,0.148427,0.111153,0.179577,0.261718,-0.14188399999999998,0.144676,-0.144451,-0.278912,-0.084771
29,N/A,0.250492,0.47390600000000005,1.1870889999999998,0.17234000000000002,1.0208110000000001,0.220177,0.264592,1.623157,0.938119
30,N/A,-0.063555,0.310311,-1.048885,0.261718,-0.391033,0.144676,1.100484,0.31353600000000004,-0.31292600000000004
31,N/A,-0.5660310000000001,0.139604,-5.440122,0.976743,-1.968978,-1.025587,-0.579221,1.747883,-1.212408
32,N/A,0.124874,0.136047,0.14974,0.17234000000000002,0.397939,0.106925,-0.350682,0.126447,0.42844
33,N/A,0.705861,0.413447,2.004055,0.6192300000000001,0.480988,-1.629594,1.409538,0.562987,1.76046
34,N/A,-0.220579,0.24273899999999998,1.988271,0.17234000000000002,-0.22493400000000002,0.182426,1.346147,-0.091823,-0.173894
